families	query_name	accession	e_value	score	bias	e_value_dom	score_dom	bias_dom	exp	reg	clu	ov	env	dom	rep	inc	description
GCF_000093005.1_ASM9300v1_genomic_CDS_0614	1-cysPrx_C	PF10417.12	1.3e-08	30.5	0.0	2.9e-08	29.4	0.0	1.6	1	0	0	1	1	1	1	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0309	2-oxoacid_dh	PF00198.26	7.3e-79	260.4	0.0	9.3e-79	260.1	0.0	1.1	1	0	0	1	1	1	1	-
GCF_000318545.1_ASM31854v1_genomic_CDS_0254	2-oxoacid_dh	PF00198.26	3.2e-78	258.3	0.0	4E-78	258.0	0.0	1.1	1	0	0	1	1	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0536	2-oxoacid_dh	PF00198.26	1E-72	240.3	0.1	1.4e-72	239.8	0.1	1.1	1	0	0	1	1	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0697	3HCDH_N	PF02737.21	7.8e-07	25.1	0.7	0.00017	17.4	0.0	2.4	2	0	0	2	2	0	0	-
GCF_000210495.1_ASM21049v1_genomic_CDS_0546	4HBT	PF03061.25	8.8e-17	57.2	0.1	1.3e-16	56.7	0.1	1.2	1	0	0	1	1	1	1	-
GCF_000590635.1_ASM59063v1_genomic_CDS_0662	5-FTHF_cyc-lig	PF01812.23	1.1e-22	76.7	0.0	1.4e-22	76.4	0.0	1.1	1	0	0	1	1	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0633	5_3_exonuc	PF01367.23	1.2e-28	95.6	0.2	1.1e-27	92.4	0.0	2.7	1	1	1	2	2	1	1	-
GCF_001398215.1_7501_6_50_genomic_CDS_0633	5_3_exonuc_N	PF02739.19	4.1e-45	149.4	0.0	6.8e-45	148.7	0.0	1.4	1	0	0	1	1	1	1	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0249	60KD_IMP	PF02096.23	8E-57	187.7	8.2	1.3e-56	187.1	8.2	1.3	1	0	0	1	1	1	1	-
GCF_002777115.1_ASM277711v1_genomic_CDS_0064	6PGD	PF00393.22	8.4e-107	352.7	0.0	1.1e-106	352.4	0.0	1.1	1	0	0	1	1	1	1	-
GCF_001183825.1_ASM118382v1_genomic_CDS_0861	AAA	PF00004.32	3E-44	146.6	0.0	9.3e-44	145.0	0.0	1.9	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	AAA	PF00004.32	6.6e-25	84.0	0.6	1.6e-12	43.9	0.1	2.9	3	0	0	3	3	2	2	-
GCF_002192615.1_ASM219261v1_genomic_CDS_0598	AAA	PF00004.32	1.5e-24	82.8	0.0	5.1e-24	81.1	0.0	2.0	2	0	0	2	2	1	1	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0112	AAA	PF00004.32	1.6e-24	82.8	0.0	3.1e-14	49.5	0.0	2.9	2	0	0	2	2	2	2	-
GCF_000226605.1_ASM22660v1_genomic_CDS_0040	AAA	PF00004.32	1.9e-19	66.4	0.0	3.6e-19	65.4	0.0	1.5	1	0	0	1	1	1	1	-
GCF_000318945.1_ASM31894v1_genomic_CDS_0713	AAA	PF00004.32	3.5e-17	59.0	0.3	8.2e-17	57.8	0.1	1.8	2	0	0	2	2	1	1	-
GCF_001183845.1_ASM118384v1_genomic_CDS_0336	AAA	PF00004.32	1.9e-12	43.7	0.0	6.7e-12	41.9	0.0	1.9	1	0	0	1	1	1	1	-
GCF_002777095.1_ASM277709v1_genomic_CDS_0296	AAA	PF00004.32	3.9e-06	23.3	0.0	7.1e-06	22.4	0.0	1.4	1	0	0	1	1	1	1	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0717	AAA	PF00004.32	1.6e-05	21.3	0.2	0.014	11.8	0.1	3.5	2	2	1	3	3	0	0	-
GCF_000304515.1_Cm_FSW4_genomic_CDS_0753	AAA_10	PF12846.10	3.7e-09	31.9	0.0	1.7e-07	26.4	0.0	2.1	2	0	0	2	2	0	0	-
GCF_000590695.1_ASM59069v1_genomic_CDS_0663	AAA_11	PF13086.9	6.9e-10	35.0	0.1	0,000002	23.7	0.1	2.3	1	1	1	2	2	0	0	-
GCF_006508265.1_ASM650826v1_genomic_CDS_0007	AAA_12	PF13087.9	1.9e-09	33.3	0.1	1.4e-06	23.9	0.0	3.3	3	0	0	3	3	0	0	-
GCF_001183765.1_ASM118376v1_genomic_CDS_0285	AAA_14	PF13173.9	3.2e-08	29.6	0.0	0.001	15.0	0.0	2.6	2	0	0	2	2	0	0	-
